book_id,stocklevel_used,stocklevel_new
1,51,21
2,72,46
3,22,4
4,79,63
5,90,56
6,51,47
7,49,17
8,51,45
9,9,45
10,70,15
11,28,10
12,39,5
13,92,93
14,33,35
15,47,88
16,54,52
17,60,15
18,11,38
19,17,16
20,73,86
21,99,18
22,74,71
23,18,6
24,19,36
25,95,50
26,99,26
27,6,44
28,87,48
29,71,11
30,72,4
31,13,46
32,41,4
33,32,47
34,58,63
35,52,72
36,60,1
37,47,18
38,8,45
39,62,48
40,69,99
41,27,86
42,3,37
43,0,33
44,97,13
45,82,99
46,16,18
47,87,94
48,5,85
49,19,74
50,48,79
51,80,58
52,2,46
53,32,7
54,30,98
55,51,31
56,36,10
57,96,57
58,52,15
59,74,24
60,6,24
61,96,89
62,42,12
63,75,86
64,78,94
65,61,93
66,53,98
67,75,85
68,60,8
69,42,77
70,41,89
71,21,87
72,46,44
73,5,18
74,82,77
75,87,86
76,85,26
77,75,27
78,55,87
79,54,58
80,40,63
81,66,32
82,34,55
83,84,87
84,18,27
85,23,93
86,50,39
87,32,94
88,13,65
89,88,57
90,31,97
91,33,49
92,46,37
93,67,54
94,53,96
95,72,68
96,76,58
97,38,13
98,30,75
99,18,52
100,28,43
101,54,14
102,27,96
103,59,76
104,31,32
105,6,0
106,0,39
107,18,32
108,11,53
109,70,88
110,47,50
111,11,100
112,70,30
113,14,76
114,5,79
115,87,88
116,92,41
117,64,60
118,83,28
119,70,15
120,23,9
121,91,65
122,36,96
123,60,88
124,9,1
125,3,65
126,38,34
127,9,33
128,63,58
129,66,19
130,97,78
131,64,40
132,16,61
133,15,2
134,53,66
135,43,29
136,59,9
137,10,34
138,79,18
139,11,1
140,90,95
141,25,42
142,27,38
143,53,2
144,80,74
145,3,75
146,59,89
147,51,32
148,78,78
149,30,59
150,66,57
151,80,2
152,95,92
153,64,0
154,68,24
155,46,53
156,94,70
157,16,2
158,33,93
159,48,40
160,44,29
161,39,22
162,86,58
163,94,86
164,8,34
165,37,48
166,95,6
167,64,87
168,11,7
169,55,93
170,89,88
171,76,40
172,25,92
173,9,100
174,29,33
175,84,10
176,14,86
177,50,15
178,90,53
179,30,36
180,98,22
181,49,0
182,16,60
183,35,57
184,46,4
185,40,79
186,57,2
187,47,21
188,53,28
189,44,24
190,24,66
191,35,34
192,67,74
193,90,89
194,17,24
195,60,35
196,60,48
197,77,19
198,56,57
199,20,55
200,99,53
201,77,38
202,21,7
203,37,72
204,75,87
205,65,65
206,28,88
207,33,10
208,63,30
209,23,20
210,11,81
211,27,84
212,95,87
213,10,54
214,79,86
215,29,46
216,43,23
217,25,42
218,90,100
219,74,83
220,53,92
221,3,89
222,34,45
223,59,77
224,77,45
225,60,68
226,94,29
227,90,47
228,81,46
229,34,71
230,13,40
231,25,24
232,74,89
233,74,75
234,31,20
235,37,41
236,17,5
237,13,68
238,77,1
239,38,44
240,49,28
241,19,26
242,67,11
243,75,62
244,57,69
245,99,20
246,10,73
247,68,14
248,23,65
249,10,71
250,17,71
251,54,30
252,99,93
253,67,97
254,61,27
255,65,26
256,11,44
257,36,39
258,56,86
259,42,16
260,14,0
261,97,11
262,32,0
263,20,62
264,88,88
265,95,4
266,96,99
267,66,95
268,17,66
269,88,79
270,30,8
271,69,49
272,11,52
273,41,34
274,2,73
275,6,41
276,3,62
277,49,75
278,33,56
279,13,12
280,86,15
281,67,80
282,27,35
283,10,71
284,54,70
285,64,16
286,92,33
287,16,84
288,83,45
289,8,18
290,21,24
291,53,11
292,78,0
293,56,48
294,92,56
295,37,41
296,44,15
297,34,31
298,33,0
299,80,36
300,96,27
301,54,98
302,71,8
303,96,26
304,93,40
305,70,99
306,84,94
307,70,42
308,94,6
309,46,61
310,53,68
311,11,58
312,44,89
313,15,47
314,20,12
315,74,4
316,39,2
317,20,15
318,54,17
319,17,14
320,10,74
321,51,25
322,7,66
323,91,19
324,100,29
325,62,89
326,33,44
327,31,37
328,92,47
329,95,84
330,49,62
331,52,66
332,36,56
333,83,62
334,99,99
335,36,4
336,58,95
337,58,76
338,77,25
339,79,81
340,99,76
341,71,81
342,41,9
343,50,45
344,21,82
345,74,65
346,19,81
347,37,45
348,48,28
349,45,84
350,15,4
351,10,64
352,61,89
353,6,7
354,62,35
355,48,62
356,90,71
357,66,46
358,32,70
359,52,29
360,86,81
361,72,67
362,50,77
363,35,64
364,89,71
365,60,82
366,47,40
367,0,92
368,10,7
369,82,90
370,100,35
371,91,9
372,85,48
373,69,71
374,0,41
375,45,47
376,100,31
377,56,15
378,63,38
379,21,68
380,3,49
381,87,38
382,69,21
383,85,81
384,73,85
385,88,76
386,3,90
387,91,53
388,89,60
389,31,2
390,87,72
391,58,13
392,49,27
393,13,68
394,71,81
395,17,73
396,2,94
397,16,25
398,32,10
399,68,7
400,0,55
401,47,76
402,51,82
403,94,31
404,47,90
405,56,39
406,14,45
407,1,48
408,64,98
409,16,55
410,97,43
411,95,3
412,50,91
413,41,29
414,13,44
415,42,89
416,1,13
417,76,31
418,41,91
419,48,53
420,67,6
421,58,14
422,94,58
423,84,56
424,28,35
425,21,89
426,8,26
427,83,68
428,36,67
429,93,77
430,46,32
431,78,41
432,45,27
433,17,37
434,77,76
435,52,80
436,95,43
437,15,68
438,45,14
439,22,76
440,59,17
441,81,94
442,99,74
443,65,59
444,32,49
445,84,92
446,30,16
447,56,46
448,26,76
449,65,10
450,93,76
451,5,13
452,85,46
453,75,90
454,47,28
455,66,90
456,94,16
457,57,47
458,72,58
459,100,66
460,37,83
461,75,34
462,55,77
463,67,64
464,27,13
465,48,42
466,17,26
467,56,85
468,56,95
469,54,84
470,25,93
471,65,28
472,9,55
473,58,31
474,65,52
475,29,44
476,65,47
477,77,20
478,79,78
479,60,61
480,98,28
481,34,64
482,90,62
483,43,78
484,23,85
485,29,60
486,22,79
487,18,53
488,62,54
489,68,38
490,0,70
