order_id,book_id,quantity,price
3808,1446,2,5800.0
206,1104,2,3400.0
70,5324,2,2800.0
926,3046,2,4200.0
964,11832,1,5500.0
1235,20882,1,2100.0
2600,2095,1,3900.0
3045,7758,1,22400.0
2850,21809,3,1900.0
3451,19863,2,4500.0
72,18263,2,4700.0
936,21887,3,2000.0
3675,2600,1,900.0
2433,15845,3,18200.0
2295,6282,3,4400.0
1614,16374,2,2900.0
744,18962,1,1750.0
3766,17669,1,1800.0
730,21143,3,3700.0
1986,5894,3,6400.0
3636,8693,2,3200.0
867,13493,3,800.0
812,9366,2,7100.0
3139,3182,3,4900.0
883,8962,3,6100.0
355,5567,1,22800.0
3001,10405,3,2900.0
3403,9393,3,3490.0
3434,14110,2,1200.0
1386,21766,1,5800.0
1538,21648,3,700.0
3527,2822,3,7200.0
1759,14587,2,6900.0
867,7373,2,3500.0
1646,6419,2,4800.0
2727,623,3,3300.0
1138,8218,3,4600.0
3902,19650,3,5400.0
3304,15491,3,2950.0
1678,11970,2,4400.0
602,12676,2,6000.0
3261,11359,2,41000.0
3082,15171,3,1350.0
3656,7509,1,4300.0
1398,7036,2,6900.0
2582,17116,1,2100.0
1946,5933,3,4200.0
3062,228,2,6100.0
3210,21637,2,1900.0
3118,17901,2,7900.0
392,1277,1,3000.0
278,17055,1,7600.0
3354,6547,2,1600.0
3258,3174,1,9100.0
1576,19598,3,2350.0
1921,14332,3,6800.0
7,1376,1,7990.0
1326,15996,2,3700.0
1704,10736,2,1800.0
2709,21518,1,700.0
3482,4028,2,5000.0
2688,11138,3,2400.0
3168,18750,2,4600.0
2304,2452,3,5700.0
2831,19822,1,3000.0
2395,9470,1,2000.0
1597,6220,3,5990.0
2219,21270,1,5600.0
3297,8697,2,7300.0
3231,10491,3,2200.0
895,11121,3,500.0
3477,12078,1,3000.0
2048,15625,3,6600.0
816,21754,3,4000.0
2244,7621,3,6500.0
1423,6577,2,5300.0
208,21439,1,2900.0
151,10465,1,7700.0
2955,15529,3,9300.0
3085,145,3,4100.0
1730,17480,3,4000.0
1560,8633,1,6500.0
2939,11389,3,6800.0
1072,16661,3,3300.0
1702,18335,2,20600.0
1080,6452,2,10400.0
3372,17023,2,1800.0
1214,12888,1,4700.0
669,18929,1,4800.0
2831,3140,3,2200.0
3811,10696,2,6500.0
3532,4674,3,10200.0
3287,14453,2,2100.0
1490,14771,1,19600.0
