full_name,author_id
Vahan Ishkhanyan,1
Julian Barnes,2
Nathaniel Hawthorne,3
Ուիլքի Քոլինզ,4
Eghisce Ciarenz,5
Vahram Alazan,6
Edgar Allan Poe,7
Nvard Yerkanian,8
Stella Karamyan,9
Agatha Christie,10
Alfred Rieber,11
Ronald Grigor Suny,12
Մանե Հարությունյան,13
Artak Vardanyan,14
Նորվարդ Մարտիրոսյան,15
Մարգարիտա Վարդանյան,16
Alexander Khatisyan,17
Գյուլնարա Իվանյան,18
Sahak Parvanyan,19
Elena Ferante,20
Yukio Mishima,21
Evgeny Schwartz,22
Rodrigo Garcia,23
Levon Hakhverdyan,24
Vahan Teryan,25
Og Mandino,26
Anna Davtyan,27
Susanna Harutyunyan,28
Hovhannes Tumanyan,29
Robert Kiyosaki,30
Լևոն Աշպահյան,31
Aram Mantashyan,32
Tessa Hofman,33
Raymond Kevorkian,34
Ա․ Ադոսիդես,35
Serob-Srap Mkhitaryan,36
Հարվի Գեյթս,37
Hasmik Ghukasyan-Shushoyan,38
Ն․Գ․ Բաղդասարյան,39
Արշավիր Շիրակյան,40
Արամ Երկանյան,41
Միսաք Թորլաքյան,42
Sevan Ghazarian,43
Vache Sargsyan,44
Alexander Kan,45
Sergey Lukyanenko,46
Anastasia Pogadaeva,47
Dmitry Likhachev,48
Hanya Yanagihara,49
Toby Ord,50
Anton Makarenko,51
George Galanis,52
Ekaterina Matyushkina,53
Max Fry,54
Boris Sokolov,55
Inazo Nitobe,56
Edward Radzinsky,57
Paulo Coelho,58
Vladimir Nabokov,59
Sergey Mikhalkov,60
Hans Christian Andersen,61
Lewis Carroll,62
Charles Perrault,63
Evgenia Khanoyants,64
Ernst Hoffmann,65
Mark Aren,66
Գամիդ Ամիրով,67
Ashot Aghababyan,68
Robin Sharma,69
Ավետիս Թէրզիպաշեան,70
Brian Tracy,71
Albert Nalchajyan,72
Khachik Dashtents,73
Joanne Rowling,74
Oliver Stone,75
Korney Chukovsky,76
Narine Avagyan,77
Անահիտ Օշական-Ոսկերիչեան,78
Farid Boudjellal,79
Հայնց Եանիշ,80
Երուանդ Թօլայեան,81
Petros Duryan,82
Յակոբ Այվազ,83
Majid Lashkari,84
Յ. Ճ. Սիրունի,85
Նորա Պարութճեան,86
S. K. Zangu,87
Արա Ակինեան,88
Յ․ Քիւրքճեան,89
Vahram Pourmaian,90
Կարպիս Ճանճիկեան,91
Բագրատ Էսդուգեան,92
Vahram Torgomyan,93
Շաւարշ Քահանայ Պալըմեան,94
Daniel Varuzhan,95
Զաւէն Պիպեռեան,96
Իեն Մըքյուեն,97
Էրիկ Էմանուել Շմիտ,98
Roberto Luciano,99
Olga Butler,100
Karen McManus,101
Alexander Ostrovsky,102
Olga Mylnikova,103
Yulia Ivanova,104
Nicholas Stargardt,105
Yaroslav Kataev,106
Slavoj Zizek,107
Tove Ditlevsen,108
Milan Kundera,109
Maurice Leblanc,110
Omar Khayyam,111
Georges Sand,112
Homer,113
Theodore Dreiser,114
Jorge Luis Borges,115
Orhan Pamuk,116
Alexandre Dumas,117
Henrik Senkevich,118
Chris Kraus,119
Niccolo Machiavelli,120
Oscar Wilde,121
Nick Montfort,122
Maria Stepnova,123
Զիգմունդ Բաուման,124
