order_id,customer_id,order_date,subtotal,shipping,total
3808,1798,2022-06-16,26750.0,1455,28205.0
206,1659,2023-06-07,6800.0,1217,8017.0
70,833,2023-03-26,5600.0,1604,7204.0
926,16,2022-01-02,13650.0,1625,15275.0
964,708,2022-03-22,13000.0,997,13997.0
1235,334,2022-06-19,32375.0,1221,33596.0
2600,699,2023-06-15,3900.0,540,4440.0
3045,1447,2023-08-31,27300.0,1881,29181.0
2850,458,2023-01-31,30900.0,712,31612.0
3451,2437,2022-08-23,9000.0,1220,10220.0
72,1873,2022-10-15,9400.0,893,10293.0
936,2072,2023-02-06,11400.0,630,12030.0
3675,779,2023-06-09,11900.0,1061,12961.0
2433,454,2022-05-30,63233.333333333336,1037,64270.333333333336
2295,1071,2023-03-16,13200.0,1766,14966.0
1614,232,2023-05-04,26600.0,1886,28486.0
744,1839,2022-07-20,1750.0,1120,2870.0
3766,1930,2023-01-13,29400.0,839,30239.0
730,681,2022-06-15,11100.0,1576,12676.0
1986,2350,2023-07-16,35600.0,839,36439.0
3636,34,2023-01-31,39200.0,1627,40827.0
867,1706,2023-03-28,10750.0,1606,12356.0
812,2408,2023-05-30,14200.0,686,14886.0
3139,1701,2023-10-18,21600.0,956,22556.0
883,166,2023-08-12,54000.0,1966,55966.0
355,1140,2022-02-23,41250.0,772,42022.0
3001,388,2022-11-10,26750.0,874,27624.0
3403,2175,2023-08-16,13180.0,1151,14331.0
3434,1404,2023-10-19,5250.0,1223,6473.0
1386,1417,2022-06-22,5800.0,1477,7277.0
1538,1534,2023-07-16,20400.0,1314,21714.0
3527,346,2022-08-23,21600.0,860,22460.0
1759,64,2023-04-19,47000.0,1823,48823.0
1646,556,2023-09-11,9600.0,1976,11576.0
2727,568,2023-01-08,22500.0,1324,23824.0
1138,2015,2022-04-28,25200.0,935,26135.0
3902,1430,2022-01-18,32000.0,655,32655.0
3304,2147,2022-09-10,31350.0,1600,32950.0
1678,2271,2022-02-19,8850.0,1068,9918.0
602,26,2022-11-15,59166.66666666667,964,60130.66666666667
3261,2394,2023-03-20,82000.0,1908,83908.0
3082,116,2022-09-14,6500.0,1572,8072.0
3656,103,2022-03-10,40800.0,529,41329.0
1398,1106,2023-08-20,13800.0,1649,15449.0
2582,20,2022-10-07,9300.0,1535,10835.0
1946,968,2022-08-02,12600.0,1964,14564.0
3062,2310,2022-07-11,12200.0,784,12984.0
3210,1956,2022-03-07,9800.0,1661,11461.0
3118,2017,2023-07-06,81150.0,519,81669.0
392,493,2023-03-14,15950.0,1251,17201.0
278,1624,2023-03-07,7600.0,622,8222.0
3354,329,2022-02-01,3200.0,1013,4213.0
3258,9,2023-06-23,21300.0,1377,22677.0
1576,362,2023-04-04,14700.0,1712,16412.0
1921,1225,2022-09-03,54300.0,1594,55894.0
7,1513,2023-07-18,26987.5,658,27645.5
1326,1873,2023-07-23,21400.0,1859,23259.0
1704,543,2023-09-04,3600.0,794,4394.0
2709,2093,2022-11-17,7300.0,1996,9296.0
3482,602,2023-09-03,10000.0,1753,11753.0
2688,2047,2022-05-30,19000.0,1026,20026.0
3168,2228,2023-08-14,36166.66666666667,1245,37411.66666666667
2304,1152,2022-08-23,17100.0,1738,18838.0
2831,833,2022-03-29,10400.0,839,11239.0
2395,678,2023-03-11,2000.0,1400,3400.0
1597,1572,2022-09-01,39270.0,928,40198.0
2219,1590,2023-08-10,9500.0,1854,11354.0
3297,1826,2023-01-09,46800.0,1153,47953.0
3231,1121,2023-06-04,9300.0,1793,11093.0
895,1534,2022-08-12,1500.0,511,2011.0
3477,1173,2023-01-10,13453.333333333334,986,14439.333333333334
2048,141,2023-03-13,19800.0,695,20495.0
816,409,2022-01-20,37566.66666666667,1687,39253.66666666667
2244,789,2022-05-10,30900.0,1542,32442.0
1423,302,2023-02-22,35000.0,722,35722.0
208,1138,2023-08-04,12750.0,1942,14692.0
151,0,2022-09-05,7700.0,1633,9333.0
2955,139,2023-10-07,27900.0,1235,29135.0
3085,1906,2023-10-19,12300.0,1193,13493.0
1730,1053,2023-02-18,21150.0,549,21699.0
1560,2316,2023-01-15,17250.0,1415,18665.0
2939,2025,2023-08-01,36800.0,1225,38025.0
1072,2016,2022-03-17,9900.0,652,10552.0
